date,median_prem
2024-01-31,52.71
2024-02-01,55.24
2024-02-02,61.28
2024-02-05,72.01
2024-02-06,72.66
2024-02-07,74.2
2024-02-08,64.53
2024-02-19,60.17
2024-02-20,60.8
2024-02-21,59.48
2024-02-22,56.18
2024-02-23,53.68
2024-02-26,51.04
2024-02-27,47.06
2024-02-28,53.53
2024-02-29,49.93
2024-03-01,48.68
2024-03-04,48.49
2024-03-05,50.07
2024-03-06,47.96
2024-03-07,47.63
2024-03-08,46.57
2024-03-11,43.05
2024-03-12,42.21
2024-03-13,42.72
2024-03-14,43.66
2024-03-15,41.79
2024-03-18,41.12
2024-03-19,41.11
2024-03-20,40.67
2024-03-21,40.01
2024-03-22,41.2
2024-03-25,44.58
